,cell_type_dc_sub_final
1290,Breast cancer subtype 1
1291,Breast cancer subtype 1
1292,Breast cancer subtype 1
1293,Breast cancer subtype 1
1294,Breast cancer subtype 1
1295,Breast cancer subtype 1
1296,Breast cancer subtype 1
1297,Breast cancer subtype 1
1298,Breast cancer subtype 1
1299,Breast cancer subtype 1
1300,Macrophages
1301,Breast myoepithelial cells
1302,Breast cancer subtype 4
1303,Macrophages
1304,Breast cancer subtype 4
1305,Breast cancer subtype 4
1306,Breast cancer subtype 4
1307,Breast cancer subtype 5
1308,Breast cancer subtype 4
1309,Breast cancer subtype 4
1310,Breast cancer subtype 4
